pais,v2018
Albania,0
Argentina,128182
Aruba,16000
Australia,181
Austria,25
Belgium,391
Bolivia,0
Brazil,120807
Bulgaria,0
Canada,3550
Chile,288233
China,0
Hong Kong SAR,0
Colombia,1174375
Costa Rica,5709
Curacao,26000
Cyprus,0
Czech Rep.,0
Denmark,21
Dominican Rep.,26500
Ecuador,262572
Estonia,0
Finland,8
France,707
Germany,652
Greece,40
Guatemala,34
Guyana,36400
Honduras,6
Iceland,14
Ireland,90
Israel,0
Italy,1667
Jordan,0
Latvia,0
Lebanon,0
Luxembourg,10
Malta,66
Mexico,52348
Morocco,0
Netherlands,128
New Zealand,0
Nicaragua,0
Norway,30
Panama,99514
Paraguay,916
Peru,656274
Poland,0
Portugal,0
Rep. of Korea,8
Romania,0
Rusia,0
South Africa,0
España,31692
Suriname,40
Sweden,154
Switzerland,45
Trinidad and Tobago,40000
Ukraine,0
UK,62
USA,93059
Uruguay,11673
Venezuela (Bolivarian Republic of),0
